Total_Trades,Winning_Trades,Losing_Trades,Win_Rate,Profit_Factor,Average_Win,Average_Loss,Largest_Win,Largest_Loss,Average_Trade_Duration,Total_Net_Profit,Max_Drawdown,Sharpe_Ratio,Sortino_Ratio,Expectancy,Ticker,Timeframe
23,6,17,0.2608695652173913,0.2014134275618394,2.8500000000000227,-4.994117647058816,7.7000000000000455,-23.65000000000009,1.0,-357.2877999999997,-0.35728780000000554,-0.7765300950377022,-0.0799558719257343,-2.94782608695651,SUNPHARMA,3min
19,7,12,0.3684210526315789,0.18626430801249372,2.557142857142935,-8.008333333333288,3.800000000000182,-18.09999999999991,1.0,-678.443749999999,-0.6784437500000058,-0.9379265532331319,-0.12466609718879663,-4.115789473684153,TCS,3min
26,8,18,0.3076923076923077,0.38363892806769795,1.6999999999999886,-1.969444444444447,4.600000000000136,-5.399999999999977,1.0,-223.87245000000016,-0.2238724499999953,-1.0028534217414593,-0.152897314549403,-0.8403846153846206,TATACONSUM,3min
21,2,19,0.09523809523809523,0.09254143646408891,1.6750000000000114,-1.9052631578947392,2.4500000000000455,-7.0499999999999545,1.0,-210.12120000000002,-0.21012119999999412,-1.0344904904673076,-0.14199487523069093,-1.5642857142857154,TATAMOTORS,3min
28,6,22,0.21428571428571427,0.0750000000000028,0.13000000000000492,-0.472727272727273,0.30000000000001137,-1.8100000000000023,1.0,-40.03016999999997,-0.04003016999999818,-0.8996132207005837,-0.1018554890651128,-0.3435714285714277,TATASTEEL,3min
31,7,24,0.22580645161290322,0.15666178623718247,1.52857142857137,-2.8458333333333408,4.600000000000136,-12.75,1.0,-400.8645000000006,-0.400864499999996,-1.0820359502618515,-0.16049775897499777,-1.8580645161290514,TECHM,3min
18,5,13,0.2777777777777778,0.1534693877550961,1.8799999999999273,-4.711538461538462,3.199999999999818,-12.25,1.0,-647.4637500000003,-0.6474637499999953,-1.1056990954722254,-0.21483226590961746,-2.880555555555576,TITAN,3min
24,9,15,0.375,0.2609341098549751,12.694444444444445,-29.18999999999978,41.0,-118.25,1.0,-2495.400399999997,-2.495400399999999,-0.8727514747042526,-0.09930766020358067,-13.483333333333198,ULTRACEMCO,3min
46,10,36,0.21739130434782608,0.2595325953259533,1.055000000000001,-1.1291666666666675,3.0499999999999545,-2.8000000000000114,1.0,-190.37445000000005,-0.19037445000000297,-1.191706651101503,-0.20873499671157247,-0.654347826086957,UPL,3min
20,10,10,0.5,0.9841269841269807,0.3100000000000023,-0.3150000000000034,0.6000000000000227,-1.1000000000000227,1.0,-50.58105000000001,-0.05058104999999341,-1.11805862861734,-0.23910601357815262,-0.0025000000000005686,WIPRO,3min
51,16,35,0.3137254901960784,0.2788873038516408,0.24437500000000068,-0.40057142857142924,0.6499999999999773,-2.930000000000007,1.0,-60.05316000000001,-0.060053159999995845,-1.0659355402394957,-0.15422920200404466,-0.19823529411764731,ZEEL,3min
26,9,17,0.34615384615384615,0.18289414917373703,4.549999999999979,-13.170588235294149,11.699999999999818,-26.150000000000546,1.0,-1328.7533000000005,-1.3287532999999967,-1.0549193151389658,-0.15021587264512304,-7.036538461538489,LTIM,3min
36,5,31,0.1388888888888889,0.16285714285714362,2.280000000000018,-2.2580645161290396,3.7000000000000455,-8.400000000000091,1.0,-374.59490000000017,-0.3745948999999964,-1.4608525434677404,-0.28840361207437853,-1.6277777777777815,ADANIPORTS,5min
23,8,15,0.34782608695652173,0.27337398373983934,3.3625000000000114,-6.559999999999976,8.5,-35.19999999999982,1.0,-519.1505499999996,-0.5191505500000058,-1.034511628130246,-0.13854266707917232,-3.108695652173893,ASIANPAINT,5min
23,9,14,0.391304347826087,0.3814016172506688,1.572222222222207,-2.6500000000000097,3.349999999999909,-8.149999999999977,1.0,-210.99480000000025,-0.21099480000000037,-1.1268210726301733,-0.17339827787547885,-0.9978260869565336,AXISBANK,5min
27,8,19,0.2962962962962963,0.21480794974770706,13.037500000000023,-25.555263157894984,49.0,-71.84999999999854,1.0,-2094.4576000000047,-2.094457600000009,-1.151083449813312,-0.1794709652952865,-14.120370370370539,BAJAJ-AUTO,5min
31,14,17,0.45161290322580644,0.33129459734963934,8.125,-20.197058823529648,28.200000000000728,-62.69999999999982,1.0,-1709.231100000004,-1.7092311000000044,-1.1687918199646277,-0.18012431313587798,-7.406451612903355,BAJFINANCE,5min
30,12,18,0.4,0.6684210526315806,2.6458333333333144,-2.6388888888888635,8.300000000000182,-7.0499999999999545,1.0,-410.8939499999998,-0.4108939499999979,-1.4349325465275067,-0.3939903839743162,-0.5249999999999925,BAJAJFINSV,5min
44,14,30,0.3181818181818182,0.2093023255813993,0.31500000000000583,-0.7023333333333331,1.0,-2.9000000000000057,1.0,-99.0104399999999,-0.0990104399999982,-1.44902025168024,-0.2741042736453207,-0.3786363636363616,BPCL,5min
